"tweet_id","hashtag_name","time"
"752","#nbcnewsforum                 ","2016-09-08T00:49:45      "
"754","#nbcnewsforum                 ","2016-09-08T00:41:50      "
"758","#nbcnewsforum                 ","2016-09-08T00:26:51      "
"759","#nbcnewsforum                 ","2016-09-08T00:25:05      "
"760","#nbcnewsforum                 ","2016-09-08T00:22:44      "
"761","#nbcnewsforum                 ","2016-09-08T00:16:16      "
"762","#nbcnewsforum                 ","2016-09-08T00:12:28      "
"764","#nbcnewsforum                 ","2016-09-07T23:55:40      "
"771","#americafirst                 ","2016-09-07T21:16:00      "
"782","#maga                         ","2016-09-07T14:42:58      "
"782","#americafirst                 ","2016-09-07T14:42:58      "
"787","#media                        ","2016-09-07T02:53:28      "
"792","#makeamericagreatagain        ","2016-09-07T00:31:00      "
"792","#votetrump                    ","2016-09-07T00:31:00      "
"798","#imwithyou                    ","2016-09-06T19:58:33      "
"811","#votetrump                    ","2016-09-06T17:08:51      "
"812","#imwithyou                    ","2016-09-06T16:58:12      "
"812","#votetrump                    ","2016-09-06T16:58:12      "
"815","#1                            ","2016-09-06T13:05:12      "
"817","#americafirst                 ","2016-09-06T12:48:02      "
"826","#americafirst                 ","2016-09-05T22:25:11      "
"831","#laborday                     ","2016-09-05T18:26:10      "
"832","#americafirst                 ","2016-09-05T16:38:27      "
"835","#americafirst                 ","2016-09-05T14:03:05      "
"835","#laborday                     ","2016-09-05T14:03:05      "
"837","#maga                         ","2016-09-05T03:58:39      "
"872","#imwithyou                    ","2016-09-02T16:10:28      "
"872","#makeamericagreatagain        ","2016-09-02T16:10:28      "
"878","#maga                         ","2016-09-02T12:28:58      "
"893","#imwithyou                    ","2016-09-01T16:45:27      "
"901","#alconvention2016             ","2016-09-01T14:11:29      "
"907","#imwithyou                    ","2016-09-01T05:06:52      "
"907","#americafirst                 ","2016-09-01T05:06:52      "
"908","#americafirst                 ","2016-09-01T04:58:53      "
"909","#imwithyou                    ","2016-09-01T04:58:19      "
"909","#makeamericagreatagain        ","2016-09-01T04:58:19      "
"910","#imwithyou                    ","2016-09-01T04:40:54      "
"910","#makeamericagreatagain        ","2016-09-01T04:40:54      "
"911","#trumppence16                 ","2016-09-01T04:40:26      "
"918","#imwithyou                    ","2016-09-01T00:43:00      "
"948","#americafirst                 ","2016-08-31T02:34:15      "
"948","#imwithyou                    ","2016-08-31T02:34:15      "
"951","#trumpineverett               ","2016-08-31T02:14:10      "
"954","#maga                         ","2016-08-30T23:16:48      "
"958","#maga                         ","2016-08-30T20:17:43      "
"971","#imwithyou                    ","2016-08-30T00:15:51      "
"972","#imwithyou                    ","2016-08-29T23:59:50      "
"975","#obamacare                    ","2016-08-29T21:11:49      "
"980","#divodejuarez                 ","2016-08-29T16:05:15      "
"980","#juangabriel                  ","2016-08-29T16:05:15      "
"980","#rip                          ","2016-08-29T16:05:15      "
"998","#goodtrouble                  ","2016-08-28T19:40:35      "
"1004","#votetrump                    ","2016-08-28T14:01:53      "
"1006","#neverhillary                 ","2016-08-28T02:33:29      "
"1006","#trumppence2016               ","2016-08-28T02:33:29      "
"1008","#strongertogether             ","2016-08-27T23:54:38      "
"1010","#imwithyou                    ","2016-08-27T19:04:30      "
"1013","#strongertogether             ","2016-08-27T18:11:57      "
"1018","#blacksfortrump               ","2016-08-27T15:10:10      "
"1018","#hillary2016                  ","2016-08-27T15:10:10      "
"1018","#blackmenforbernie            ","2016-08-27T15:10:10      "
"1021","#imwithyou                    ","2016-08-26T23:59:43      "
"1022","#trumppence16                 ","2016-08-26T23:54:09      "
"1022","#americafirst                 ","2016-08-26T23:54:09      "
"1023","#imwithyou                    ","2016-08-26T23:21:16      "
"1025","#makeamericagreatagain        ","2016-08-26T22:59:30      "
"1026","#enjoy                        ","2016-08-26T22:03:12      "
"1029","#womensequalityday            ","2016-08-26T19:26:16      "
