909,#imwithyou                    ,2016-09-01
909,#makeamericagreatagain        ,2016-09-01
910,#imwithyou                    ,2016-09-01
910,#makeamericagreatagain        ,2016-09-01
911,#trumppence16                 ,2016-09-01
918,#imwithyou                    ,2016-09-01
948,#americafirst                 ,2016-08-31
948,#imwithyou                    ,2016-08-31
951,#trumpineverett               ,2016-08-31
954,#maga                         ,2016-08-30
958,#maga                         ,2016-08-30
971,#imwithyou                    ,2016-08-30
972,#imwithyou                    ,2016-08-29
975,#obamacare                    ,2016-08-29
980,#divodejuarez                 ,2016-08-29
980,#juangabriel                  ,2016-08-29
980,#rip                          ,2016-08-29
998,#goodtrouble                  ,2016-08-28
1004,#votetrump                    ,2016-08-28
1006,#neverhillary                 ,2016-08-28
1006,#trumppence2016               ,2016-08-28
1008,#strongertogether             ,2016-08-27
1010,#imwithyou                    ,2016-08-27
1013,#strongertogether             ,2016-08-27
1018,#blacksfortrump               ,2016-08-27
1018,#hillary2016                  ,2016-08-27
1018,#blackmenforbernie            ,2016-08-27
1021,#imwithyou                    ,2016-08-26
1022,#trumppence16                 ,2016-08-26
1022,#americafirst                 ,2016-08-26
1023,#imwithyou                    ,2016-08-26
1025,#makeamericagreatagain        ,2016-08-26
1026,#enjoy                        ,2016-08-26
1029,#womensequalityday            ,2016-08-26
1033,#crookedhillary               ,2016-08-26
1035,#womensequalityday            ,2016-08-26
1038,#womensequalityday            ,2016-08-26
1042,#womensequalityday            ,2016-08-26
1052,#flashbackfriday              ,2016-08-26
1058,#nps100                       ,2016-08-25
1065,#crookedhillary's             ,2016-08-25
1104,#nps100                       ,2016-08-25
1107,#maga                         ,2016-08-25
1107,#brexit                       ,2016-08-25
1112,#buildthewall                 ,2016-08-24
1112,#hannity                      ,2016-08-24
1114,#imwithyou                    ,2016-08-24
1114,#americafirst                 ,2016-08-24
1116,#trumppence16                 ,2016-08-24
1122,#makeamericagreatagain        ,2016-08-24
1123,#makeamericagreatagain        ,2016-08-24
1125,#makeamericasafeagain         ,2016-08-24
1129,#makeamericagreatagain        ,2016-08-24
1132,#imwithher                    ,2016-08-23
1134,#diwali                       ,2016-08-23
1136,#blackwomensequalpay          ,2016-08-23
1139,#laflood                      ,2016-08-23
1144,#smallbiz                     ,2016-08-23
1175,#teamtrump                    ,2016-08-22
1176,#trumppence16                 ,2016-08-22
1176,#maga                         ,2016-08-22
1193,#maga                         ,2016-08-20
1194,#trumppence16                 ,2016-08-20
1202,#trumppence16                 ,2016-08-20
1206,#alwaystrump                  ,2016-08-20
1206,#maga                         ,2016-08-20
1208,#standwithlouisiana           ,2016-08-20
1209,#whereshillary                ,2016-08-19
1215,#trumppence16                 ,2016-08-19
1217,#whd                          ,2016-08-19
1224,#trumptrain                   ,2016-08-19
